source_experiment,dataset,model_family,explainer,prompt_condition,judge_model,n_judgments,n_cases,clarity_mean,clarity_std,completeness_mean,completeness_std,concision_mean,concision_std,semantic_plausibility_mean,semantic_plausibility_std,audit_usefulness_mean,audit_usefulness_std,actionability_mean,actionability_std,overall_quality_mean,overall_quality_std
exp2_scaled,adult,logreg,anchors,hidden_label_primary,openai/gpt-4.1-2025-04-14,48,16,2.2916666666666665,1.1100763503228501,1.5,0.5834599659915782,3.0,1.5017720029805357,2.5,1.129865365732064,1.6875,0.8030858039528768,1.4791666666666667,0.5453705877787914,1.625,0.7329625110148482
exp2_scaled,adult,logreg,anchors,label_visible_bias_probe,openai/gpt-4.1-2025-04-14,48,16,1.875,1.0644147328012026,1.3125,0.4684174352188668,2.5,1.5017720029805357,1.8958333333333333,0.9944437840905398,1.4166666666666667,0.6789645850863051,1.3125,0.4684174352188668,1.375,0.6058228095703765
exp2_scaled,adult,logreg,anchors,rubric_alt_sensitivity,openai/gpt-4.1-2025-04-14,48,16,1.4166666666666667,0.8208281581721152,1.2083333333333333,0.4104140790860576,1.875,1.330893157148492,1.625,0.9592772101730797,1.2708333333333333,0.5738849811863049,1.1875,0.39444277960558327,1.2708333333333333,0.5738849811863049
exp2_scaled,adult,logreg,dice,hidden_label_primary,openai/gpt-4.1-2025-04-14,48,16,1.9791666666666667,1.0414716129436155,1.3125,0.4684174352188668,2.75,1.391463335041911,2.0625,1.0190995190790908,1.4375,0.6492630847287479,1.2708333333333333,0.4490928602896294,1.3333333333333333,0.5191373094849674
exp2_scaled,adult,logreg,dice,label_visible_bias_probe,openai/gpt-4.1-2025-04-14,48,16,1.6041666666666667,0.8183944669571631,1.2083333333333333,0.4104140790860576,2.1666666666666665,1.3735082171923965,1.5416666666666667,0.713347915274833,1.25,0.4375949744936837,1.1458333333333333,0.3566739576374165,1.2291666666666667,0.42474439539379416
exp2_scaled,adult,logreg,dice,rubric_alt_sensitivity,openai/gpt-4.1-2025-04-14,48,16,1.3958333333333333,0.6437781874294353,1.0,0.0,1.6458333333333333,1.0414716129436155,1.2291666666666667,0.5152806850612228,1.1458333333333333,0.3566739576374165,1.0,0.0,1.125,0.3342186823915959
exp2_scaled,adult,logreg,lime,hidden_label_primary,openai/gpt-4.1-2025-04-14,48,16,3.0625,1.2446694853090818,2.1041666666666665,0.7505907838647468,3.8125,1.5663516357473857,3.5,1.4291792020209928,2.3541666666666665,0.8626920589946812,2.125,0.7888855592111665,2.2916666666666665,0.8494887907875882
exp2_scaled,adult,logreg,lime,label_visible_bias_probe,openai/gpt-4.1-2025-04-14,48,16,2.375,1.2138386446802347,1.75,0.7579367289598671,3.125,1.5659270926752842,2.5625,1.2531874254892026,1.8333333333333333,0.8336878678455792,1.75,0.7855070188074355,1.8333333333333333,0.8588298157855662
exp2_scaled,adult,logreg,lime,rubric_alt_sensitivity,openai/gpt-4.1-2025-04-14,48,16,1.8333333333333333,1.1361250555480114,1.4375,0.711792762094567,2.2708333333333335,1.607688751147863,1.9791666666666667,1.344643958781106,1.5416666666666667,0.8981857205792587,1.4791666666666667,0.7434703941317062,1.5416666666666667,0.8981857205792587
exp2_scaled,adult,logreg,shap,hidden_label_primary,openai/gpt-4.1-2025-04-14,12,4,4.0,0.0,2.8333333333333335,0.38924947208076144,5.0,0.0,4.916666666666667,0.2886751345948129,3.25,0.621581560508061,2.8333333333333335,0.38924947208076144,3.1666666666666665,0.5773502691896257
exp2_scaled,adult,logreg,shap,label_visible_bias_probe,openai/gpt-4.1-2025-04-14,12,4,3.75,0.45226701686664544,2.75,0.45226701686664544,4.75,0.45226701686664544,4.0,0.4264014327112209,3.0,0.6030226891555273,2.3333333333333335,0.4923659639173309,2.8333333333333335,0.5773502691896257
exp2_scaled,adult,logreg,shap,rubric_alt_sensitivity,openai/gpt-4.1-2025-04-14,12,4,2.5833333333333335,1.3113721705515065,1.8333333333333333,1.0298573010888745,3.5,1.7320508075688772,3.25,1.864744681524183,2.1666666666666665,1.2673044646258476,1.5833333333333333,0.6685579234215214,2.1666666666666665,1.2673044646258476
exp2_scaled,adult,mlp,anchors,hidden_label_primary,openai/gpt-4.1-2025-04-14,27,9,1.962962962962963,1.0912759462588695,1.4074074074074074,0.5007117441325405,2.4814814814814814,1.5779824111911038,2.111111111111111,1.310705427603288,1.4814814814814814,0.642732769590452,1.4074074074074074,0.5007117441325405,1.4444444444444444,0.5773502691896258
