source_experiment,dataset,model_family,explainer,prompt_condition,judge_model,n_judgments,n_cases,clarity_mean,clarity_std,completeness_mean,completeness_std,concision_mean,concision_std,semantic_plausibility_mean,semantic_plausibility_std,audit_usefulness_mean,audit_usefulness_std,actionability_mean,actionability_std,overall_quality_mean,overall_quality_std
exp2_scaled,adult,logreg,anchors,hidden_label_primary,gpt-4.1-2025-04-14,30,10,1.4,0.6214554662658655,1.2,0.4068381021724863,2.066666666666667,1.3628907749221197,1.7666666666666666,1.1043279539543758,1.2333333333333334,0.43018306715207627,1.2333333333333334,0.43018306715207627,1.2333333333333334,0.43018306715207627
exp2_scaled,adult,logreg,anchors,hidden_label_primary,openai/gpt-4.1-2025-04-14,48,16,2.2916666666666665,1.1100763503228501,1.5,0.5834599659915782,3.0,1.5017720029805357,2.5,1.129865365732064,1.6875,0.8030858039528768,1.4791666666666667,0.5453705877787914,1.625,0.7329625110148482
exp2_scaled,adult,logreg,anchors,hidden_label_primary,openai/gpt-4.1-mini,48,16,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
exp2_scaled,adult,logreg,anchors,label_visible_bias_probe,gpt-4.1-2025-04-14,30,10,1.5666666666666667,0.8172001541568767,1.1666666666666667,0.3790490217894517,1.9666666666666666,1.2726115785600323,1.6,0.7701320979389588,1.2333333333333334,0.5040069329937308,1.1666666666666667,0.3790490217894517,1.1666666666666667,0.3790490217894517
exp2_scaled,adult,logreg,anchors,label_visible_bias_probe,openai/gpt-4.1-2025-04-14,48,16,1.875,1.0644147328012026,1.3125,0.4684174352188668,2.5,1.5017720029805357,1.8958333333333333,0.9944437840905398,1.4166666666666667,0.6789645850863051,1.3125,0.4684174352188668,1.375,0.6058228095703765
exp2_scaled,adult,logreg,anchors,label_visible_bias_probe,openai/gpt-4.1-mini,48,16,1.125,0.3342186823915959,1.125,0.3342186823915959,1.6458333333333333,1.1575760318456607,1.3958333333333333,0.736281148120753,1.1041666666666667,0.3087092781885836,1.0,0.0,1.125,0.3342186823915959
exp2_scaled,adult,logreg,anchors,rubric_alt_sensitivity,gpt-4.1-2025-04-14,30,10,1.2,0.5508613944197477,1.0666666666666667,0.2537081317024625,1.4666666666666666,0.8995528902176071,1.3,0.5959634332684375,1.0666666666666667,0.2537081317024625,1.0666666666666667,0.2537081317024625,1.0666666666666667,0.2537081317024625
exp2_scaled,adult,logreg,anchors,rubric_alt_sensitivity,openai/gpt-4.1-2025-04-14,48,16,1.4166666666666667,0.8208281581721152,1.2083333333333333,0.4104140790860576,1.875,1.330893157148492,1.625,0.9592772101730797,1.2708333333333333,0.5738849811863049,1.1875,0.39444277960558327,1.2708333333333333,0.5738849811863049
exp2_scaled,adult,logreg,anchors,rubric_alt_sensitivity,openai/gpt-4.1-mini,48,16,1.0208333333333333,0.14433756729740643,1.0208333333333333,0.14433756729740643,1.1041666666666667,0.5152806850612228,1.1041666666666667,0.5152806850612228,1.0208333333333333,0.14433756729740643,1.0208333333333333,0.14433756729740643,1.0208333333333333,0.14433756729740643
exp2_scaled,adult,logreg,dice,hidden_label_primary,gpt-4.1-2025-04-14,45,15,1.2,0.45726459418033777,1.0444444444444445,0.2084090771399927,1.6,1.0954451150103321,1.3777777777777778,0.5755980640283039,1.0666666666666667,0.25226248955475644,1.0444444444444445,0.2084090771399927,1.0666666666666667,0.25226248955475644
exp2_scaled,adult,logreg,dice,hidden_label_primary,openai/gpt-4.1-2025-04-14,48,16,1.9791666666666667,1.0414716129436155,1.3125,0.4684174352188668,2.75,1.391463335041911,2.0625,1.0190995190790908,1.4375,0.6492630847287479,1.2708333333333333,0.4490928602896294,1.3333333333333333,0.5191373094849674
